File,adult,medical,racy,spoof,violence
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_247.jpg,UNLIKELY,UNLIKELY,LIKELY,UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_253.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_284.jpg,POSSIBLE,UNLIKELY,VERY_LIKELY,UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_290.jpg,UNLIKELY,UNLIKELY,LIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_46.jpg,UNLIKELY,VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_52.jpg,UNLIKELY,VERY_UNLIKELY,POSSIBLE,UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_119.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_131.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_125.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_85.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_91.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_333.jpg,UNLIKELY,UNLIKELY,VERY_LIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_327.jpg,UNLIKELY,UNLIKELY,VERY_LIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_326.jpg,UNLIKELY,UNLIKELY,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_332.jpg,UNLIKELY,VERY_UNLIKELY,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_90.jpg,VERY_UNLIKELY,VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_84.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_124.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_130.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_118.jpg,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_53.jpg,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_47.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_291.jpg,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_285.jpg,UNLIKELY,UNLIKELY,VERY_LIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_252.jpg,VERY_UNLIKELY,UNLIKELY,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_246.jpg,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_278.jpg,VERY_UNLIKELY,UNLIKELY,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY
/Users/timomiessen/Desktop/imagesdk/nonblackmen1/NBM_250.jpg,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY
